               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093253,            0.024204,                   0,             0.27474,             0.57143,             0.25786,            0.085439,            0.058156,            0.014135,                   0,            0.070353,           0.0032941,           0.0032941
                   1,             0.06318,            0.021763,                   0,              0.6908,             0.73469,             0.72604,             0.27523,            0.046222,           0.0097069,                   0,            0.040025,           0.0062994,           0.0062994
                   2,            0.056802,            0.017666,                   0,             0.72006,             0.83994,             0.78813,             0.38811,            0.042237,           0.0097565,                   0,           0.0093668,           0.0089747,           0.0089747
                   3,            0.050724,            0.016256,                   0,             0.94958,             0.83673,              0.9178,             0.43289,            0.036631,            0.008336,                   0,            0.008515,            0.008515,            0.008515
                   4,             0.04641,            0.014721,                   0,             0.95825,             0.93689,             0.96672,             0.50419,            0.033663,           0.0076645,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.042557,            0.014066,                   0,             0.88966,                   1,              0.9552,             0.54431,            0.028177,           0.0077783,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.038946,            0.013538,                   0,             0.91629,             0.89357,             0.93247,             0.54626,             0.03252,           0.0089186,                   0,            0.007525,            0.007525,            0.007525
                   7,            0.037605,            0.013229,                   0,             0.93909,             0.97959,             0.98019,             0.67359,            0.024028,           0.0069239,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.036075,            0.013576,                   0,             0.92278,             0.97564,             0.97807,             0.65239,            0.024941,           0.0073599,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.035938,            0.013689,                   0,              0.9165,             0.93878,             0.92128,             0.48139,             0.02868,           0.0075291,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.033664,            0.012713,                   0,             0.91813,             0.95918,             0.95807,             0.58168,            0.025224,           0.0075164,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.032295,            0.012405,                   0,             0.95975,             0.97327,             0.97656,             0.69536,            0.022308,           0.0074725,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.031618,            0.011669,                   0,             0.90702,              0.9955,             0.97458,             0.62619,            0.026071,            0.007319,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.031089,            0.012311,                   0,             0.93894,             0.95918,             0.97209,             0.71792,            0.019876,            0.007049,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.029878,             0.01126,                   0,             0.91781,             0.95918,             0.96439,             0.61118,            0.021873,            0.007209,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.028664,            0.011744,                   0,              0.9422,             0.99803,             0.97748,             0.68586,            0.023687,           0.0075112,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.027969,            0.011265,                   0,             0.93929,             0.95918,              0.9679,             0.66836,            0.023041,           0.0075325,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.027628,            0.011175,                   0,             0.92173,             0.97959,             0.97403,             0.69192,            0.022101,           0.0076111,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.027095,            0.010865,                   0,             0.93832,             0.95918,             0.97279,             0.67862,            0.022349,           0.0075452,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.026389,            0.011186,                   0,             0.92417,             0.99501,             0.97295,             0.66611,            0.022958,           0.0073804,                   0,             0.00109,             0.00109,             0.00109
